,trip_seg,fstop,tstop,fstop_name,tstop_name,fstop_lat,fstop_lon,tstop_lat,tstop_lon
49,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
50,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
51,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
52,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
53,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
54,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
55,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
56,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
57,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
58,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
59,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
60,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
61,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
62,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
63,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
64,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
65,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
66,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
67,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
68,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
69,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
70,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
71,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
72,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
73,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
74,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
75,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
76,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
77,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
78,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
79,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
80,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
81,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
82,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
83,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
84,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
85,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
86,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
87,1,101S,103S,Van Cortlandt Park - 242 St,238 St,40.889247999999995,-73.898583,40.884667,-73.90087
